Date,HomeTeam,AwayTeam,home_points_avg,away_points_avg,home_goals_avg,away_goals_avg,home_conceded_avg,away_conceded_avg,home_wins,away_wins,home_draws,away_draws,home_losses,away_losses,home_games_history,away_games_history,home_home_points_avg,away_away_points_avg,home_home_goals_avg,away_away_goals_avg,home_home_conceded_avg,away_away_conceded_avg,home_home_wins,away_away_wins,home_home_games,away_away_games,FTR
2010-09-18,Stuttgart,M'gladbach,0.0,1.3333333333333333,0.6666666666666666,2.3333333333333335,2.3333333333333335,2.6666666666666665,0,1,0,1,3,1,3,3,0.0,3.0,1.0,6.0,3.0,3.0,0,1,1,1,H
2010-09-18,Werder Bremen,Mainz,1.3333333333333333,3.0,1.6666666666666667,2.6666666666666665,2.0,1.3333333333333333,1,3,1,0,1,0,3,3,3.0,3.0,4.0,4.0,2.0,3.0,1,1,1,1,A
2010-09-18,Wolfsburg,Hannover,0.0,2.3333333333333335,1.3333333333333333,2.0,2.6666666666666665,1.3333333333333333,0,2,0,1,3,0,3,3,0.0,3.0,3.0,2.0,4.0,1.0,0,1,1,1,H
2010-09-19,Leverkusen,Nurnberg,1.3333333333333333,0.6666666666666666,2.3333333333333335,1.0,2.6666666666666665,1.3333333333333333,1,0,1,2,1,1,3,3,0.0,1.0,3.0,1.0,6.0,1.0,0,0,1,2,D
2010-09-19,Schalke 04,Dortmund,0.0,2.0,0.6666666666666666,1.6666666666666667,2.0,1.0,0,2,0,0,3,1,3,3,0.0,3.0,1.0,3.0,2.0,1.0,0,1,1,1,A
2010-09-19,St Pauli,Hamburg,1.0,2.3333333333333335,1.0,2.0,1.0,1.0,1,2,0,1,2,0,3,3,0.0,3.0,0.0,3.0,1.0,1.0,0,1,1,1,D
2010-09-21,Mainz,FC Koln,3.0,1.0,2.5,1.0,1.0,1.75,4,1,0,1,0,2,4,4,3.0,0.5,2.0,1.0,0.5,2.0,2,0,2,2,H
2010-09-21,Hoffenheim,Bayern Munich,2.5,1.25,2.25,0.5,0.75,0.75,3,1,1,2,0,1,4,4,3.0,0.0,3.0,0.0,0.5,2.0,2,0,2,1,A
2010-09-21,Hannover,Werder Bremen,1.75,1.0,1.5,1.25,1.5,2.0,2,1,1,1,1,2,4,4,2.0,0.5,2.0,0.5,1.5,2.0,1,0,2,2,H
2010-09-22,Dortmund,Kaiserslautern,2.25,1.75,2.0,2.0,1.0,1.25,3,2,0,1,1,1,4,4,1.5,1.5,1.0,2.0,1.0,1.5,1,1,2,2,H
2010-09-22,Freiburg,Schalke 04,2.25,0.0,1.5,0.75,1.25,2.25,3,0,0,0,1,4,4,4,1.5,0.0,1.5,0.5,2.0,2.0,1,0,2,2,A
2010-09-22,Hamburg,Wolfsburg,2.0,0.75,1.75,1.5,1.0,2.0,2,1,2,0,0,3,4,4,2.0,0.0,1.5,0.5,1.0,2.0,1,0,2,2,A
2010-09-22,Leverkusen,Ein Frankfurt,1.25,0.75,1.75,1.5,2.0,1.5,1,1,2,0,1,3,4,4,0.5,1.5,1.5,2.5,3.0,1.0,0,1,2,2,H
2010-09-22,M'gladbach,St Pauli,1.0,1.0,1.75,1.0,3.75,1.0,1,1,1,1,2,2,4,4,0.5,1.5,0.5,1.5,2.5,1.0,0,1,2,2,A
2010-09-22,Nurnberg,Stuttgart,0.75,0.75,0.75,2.25,1.0,1.75,0,1,3,0,1,3,4,4,0.0,0.0,1.0,0.5,2.0,2.0,0,0,1,2,H
2010-09-24,FC Koln,Hoffenheim,0.8,2.0,0.8,2.0,1.8,1.0,1,3,1,1,3,1,5,5,1.5,2.0,1.0,1.5,1.5,1.0,1,1,2,2,D
2010-09-25,Werder Bremen,Hamburg,0.8,1.6,1.2,1.6,2.4,1.4,1,2,1,2,3,1,5,5,1.5,2.0,2.0,2.0,2.0,1.0,1,1,2,2,H
2010-09-25,Stuttgart,Leverkusen,0.6,1.6,2.0,1.8,1.8,1.8,1,2,0,2,4,1,5,5,1.5,2.0,4.0,2.0,1.5,1.0,1,1,2,2,A
2010-09-25,St Pauli,Dortmund,1.4,2.4,1.2,2.6,1.0,0.8,2,4,1,0,2,1,5,5,0.5,3.0,0.5,3.0,1.0,1.0,0,2,2,2,A
2010-09-25,Ein Frankfurt,Nurnberg,0.6,1.2,1.4,1.0,1.6,1.0,1,1,0,3,4,1,5,5,0.0,1.0,0.5,0.6666666666666666,2.0,0.6666666666666666,0,0,2,3,H
2010-09-25,Bayern Munich,Mainz,1.6,3.0,0.8,2.4,0.8,0.8,2,5,2,0,1,0,5,5,1.6666666666666667,3.0,0.6666666666666666,3.0,0.3333333333333333,1.5,1,2,3,2,A
2010-09-25,Schalke 04,M'gladbach,0.6,0.8,1.0,1.6,2.0,3.4,1,1,0,1,4,3,5,5,0.0,1.5,1.0,3.0,2.5,5.0,0,1,2,2,D
2010-09-26,Kaiserslautern,Hannover,1.4,2.0,1.6,2.0,2.0,1.4,2,3,1,1,2,1,5,5,2.0,1.5,2.0,1.0,1.0,1.5,1,1,2,2,A
